Risk,Year,Amount
Diet low in fruits,2001,545445
Diet low in fruits,2002,553698
Diet low in fruits,2003,556643.6
Diet low in fruits,2004,552944.6
Diet low in fruits,2005,557618.9
Diet low in fruits,2006,552897.4
Diet low in fruits,2007,552574.1
Diet low in fruits,2008,556824.4
Diet low in fruits,2009,554645.3
Diet low in fruits,2010,558901.5
Diet low in fruits,2011,561534.5
Diet low in fruits,2012,564278.9
Diet low in fruits,2013,566977.9
Diet low in fruits,2014,568779
Diet low in fruits,2015,577671.7
Diet low in fruits,2016,585020.3
Diet low in fruits,2017,591577.3
Diet low in fruits,2018,602891.9
Diet low in fruits,2019,613784.6
Unsafe water source,1990,1340079
Unsafe water source,1991,1344496.1
Unsafe water source,1992,1331766.9
Unsafe water source,1993,1294379.5
Unsafe water source,1994,1263272.4
Unsafe water source,1995,1231430.9
Unsafe water source,1996,1203469.6
Unsafe water source,1997,1186503.4
Unsafe water source,1998,1169820.8
Unsafe water source,1999,1147279.3
Unsafe water source,2000,1120333.2
Unsafe water source,2001,1089807.9
Unsafe water source,2002,1057519.7
Unsafe water source,2003,1023812
Unsafe water source,2004,986509.7
Unsafe water source,2005,966323.1
Unsafe water source,2006,958062.6
Unsafe water source,2007,942617.1
Unsafe water source,2008,927623.3
Unsafe water source,2009,894161.9
Unsafe water source,2010,870811.1
Unsafe water source,2011,857495.7
Unsafe water source,2012,823565.5
Unsafe water source,2013,799646
Unsafe water source,2014,768169.1
Unsafe water source,2015,744252.4
Unsafe water source,2016,724254.3
Unsafe water source,2017,720222.5
Unsafe water source,2018,694417.6
Unsafe water source,2019,672983.4
Secondhand smoke,1990,689333.3
Secondhand smoke,1991,691402.1
Secondhand smoke,1992,695034.4
Secondhand smoke,1993,700727.1
Secondhand smoke,1994,700845
Secondhand smoke,1995,696690
Secondhand smoke,1996,692119.3
Secondhand smoke,1997,688534.2
Secondhand smoke,1998,682577.1
Secondhand smoke,1999,680927.9
Secondhand smoke,2000,680712
Secondhand smoke,2001,679804.9
Secondhand smoke,2002,682505
Secondhand smoke,2003,681655.2
Secondhand smoke,2004,676532
Secondhand smoke,2005,678023.7
Secondhand smoke,2006,670523.8
Secondhand smoke,2007,667872.2
Secondhand smoke,2008,672477.3
Secondhand smoke,2009,672247.6
Secondhand smoke,2010,677111.4
Secondhand smoke,2011,681153.9
Secondhand smoke,2012,684427.5
Secondhand smoke,2013,690783.1
Secondhand smoke,2014,697173.1
Secondhand smoke,2015,707362.7
Secondhand smoke,2016,717127.7
Secondhand smoke,2017,726810.5
Secondhand smoke,2018,743731
Secondhand smoke,2019,762755.6
Diet low in nuts and seeds,1990,260599.3
Diet low in nuts and seeds,1991,263097.8
Diet low in nuts and seeds,1992,267252.8
Diet low in nuts and seeds,1993,276584.8
Diet low in nuts and seeds,1994,281670.6
Diet low in nuts and seeds,1995,280444.9
Diet low in nuts and seeds,1996,278075.1
Diet low in nuts and seeds,1997,277705.9
Diet low in nuts and seeds,1998,276042
Diet low in nuts and seeds,1999,278837.1
Diet low in nuts and seeds,2000,281410.9
Diet low in nuts and seeds,2001,284846.8
Diet low in nuts and seeds,2002,290245.4
Diet low in nuts and seeds,2003,292886.6
Diet low in nuts and seeds,2004,290090.6
Diet low in nuts and seeds,2005,295806.2
Diet low in nuts and seeds,2006,295239.2
Diet low in nuts and seeds,2007,297731.6
Diet low in nuts and seeds,2008,302711.2
Diet low in nuts and seeds,2009,302611.7
Diet low in nuts and seeds,2010,307634.3
Diet low in nuts and seeds,2011,310618.8
Diet low in nuts and seeds,2012,313782.3
Diet low in nuts and seeds,2013,316396.6
Diet low in nuts and seeds,2014,317189.9
Diet low in nuts and seeds,2015,323514.7
Diet low in nuts and seeds,2016,326360
Diet low in nuts and seeds,2017,328926.7
Diet low in nuts and seeds,2018,334095.3
Diet low in nuts and seeds,2019,337093
Diet low in vegetables,1990,276800
Diet low in vegetables,1991,274527.8
Diet low in vegetables,1992,273531.5
Diet low in vegetables,1993,274614.3
Diet low in vegetables,1994,273590.2
Diet low in vegetables,1995,271387.8
Diet low in vegetables,1996,269343.5
Diet low in vegetables,1997,268060.7
Diet low in vegetables,1998,265224.4
Diet low in vegetables,1999,263754.4
Diet low in vegetables,2000,263389.8
Diet low in vegetables,2001,263674.2
Diet low in vegetables,2002,264806.5
Diet low in vegetables,2003,263488.9
Diet low in vegetables,2004,258697
Diet low in vegetables,2005,260385.7
Diet low in vegetables,2006,261336.7
Diet low in vegetables,2007,263009
Diet low in vegetables,2008,266350.6
Diet low in vegetables,2009,266521.7
Diet low in vegetables,2010,269355.6
Diet low in vegetables,2011,272196.9
Diet low in vegetables,2012,275556.5
Diet low in vegetables,2013,278634.5
Diet low in vegetables,2014,280522.1
Diet low in vegetables,2015,285973.7
Diet low in vegetables,2016,290391.8
Diet low in vegetables,2017,294317.9
Diet low in vegetables,2018,300532.6
Diet low in vegetables,2019,306023.9
Low physical activity,1990,282292.6
Low physical activity,1991,287441.3
Low physical activity,1992,294220.5
Low physical activity,1993,305370.5
Low physical activity,1994,312346.5
Low physical activity,1995,317687.2
Low physical activity,1996,321258.5
Low physical activity,1997,325536.3
Low physical activity,1998,331030.6
Low physical activity,1999,338460.3
Low physical activity,2000,343501.6
Low physical activity,2001,349050.6
Low physical activity,2002,355898.7
Low physical activity,2003,360514.2
Low physical activity,2004,360424.7
Low physical activity,2005,367621.3
Low physical activity,2006,371878.6
Low physical activity,2007,378792.1
Low physical activity,2008,389478.6
Low physical activity,2009,396842.4
Low physical activity,2010,406215.4
Low physical activity,2011,414099.9
Low physical activity,2012,420721.8
Low physical activity,2013,429997
Low physical activity,2014,438566.8
Low physical activity,2015,449479.5
Low physical activity,2016,462404.4
Low physical activity,2017,478913
Low physical activity,2018,490054
Low physical activity,2019,498433.8
Smoking,1990,3615240.6
Smoking,1991,3673784.4
Smoking,1992,3742312.7
Smoking,1993,3839801
Smoking,1994,3898870.1
Smoking,1995,3932334.4
Smoking,1996,3947316.4
Smoking,1997,3971844.5
Smoking,1998,3995503.3
Smoking,1999,4040351.4
Smoking,2000,4089797.1
Smoking,2001,4120649.4
Smoking,2002,4169060.9
Smoking,2003,4198781.1
Smoking,2004,4189881.3
Smoking,2005,4220383.6
Smoking,2006,4175089
Smoking,2007,4175564.8
Smoking,2008,4220074.1
Smoking,2009,4225520.1
Smoking,2010,4256504.2
Smoking,2011,4273550.6
Smoking,2012,4297213
Smoking,2013,4320130.4
Smoking,2014,4343489.4
Smoking,2015,4396153.9
Smoking,2016,4443829.1
Smoking,2017,4483638.4
Smoking,2018,4558558.3
Smoking,2019,4643719.9
High fasting plasma glucose,1990,1779404
High fasting plasma glucose,1991,1818440.4
High fasting plasma glucose,1992,1866235.2
High fasting plasma glucose,1993,1930917.1
