ID,Entity,Code,Year,Death,Calories,Obese,Population__historical_estimates_,Continent,Column1,Column2,Column3,,Asia,,,,,3682,#REF!,,,
Philippines2019,Philippines,PHL,2019,9.52,2662,21.8,110380800,Asia,,,"""Philippines"",",,Asia,,,,,,,,,
North Korea2019,North Korea,PRK,2019,3.28,2019,18.9,25755442,Asia,,,"""North Korea"",",,South America,,,,,,,,,
Paraguay2019,Paraguay,PRY,2019,14.23,2768,51.5,6530029,South America,,,"""Paraguay"",",,Europe,,,,,,,,,
Russia2019,Russia,RUS,2019,15.1,3345,60.3,145742288,Europe,,,"""Russia"",",,Asia,,,,,,,,,
Saudi Arabia2019,Saudi Arabia,SAU,2019,21.17,3307,65.5,35827364,Asia,,,"""Saudi Arabia"",",,Africa,,,,,,,,,
Sudan2019,Sudan,SDN,2019,14.52,2578,21.5,43232092,Africa,,,"""Sudan"",",,Africa,,,,,,,,,
Sao Tome and Principe2019,Sao Tome and Principe,STP,2019,9.76,2446,24.1,214612,Africa,,,"""Sao Tome and Principe"",",,South America,,,,,,,,,
Suriname2019,Suriname,SUR,2019,14.07,2698,52,600305,South America,,,"""Suriname"",",,Europe,,,,,,,,,
Sweden2019,Sweden,SWE,2019,9.21,3184,62.6,10267922,Europe,,,"""Sweden"",",,Africa,,,,,,,,,
Togo2019,Togo,TGO,2019,6.11,2443,15.7,8243093,Africa,,,"""Togo"",",,Asia,,,,,,,,,
Thailand2019,Thailand,THA,2019,8.14,2804,26,71307768,Asia,,,"""Thailand"",",,Asia,,,,,,,,,
Tajikistan2019,Tajikistan,TJK,2019,9.31,2109,39.4,9337008,Asia,,,"""Tajikistan"",",,Asia,,,,,,,,,
Turkmenistan2019,Turkmenistan,TKM,2019,20.08,2830,52.6,6158424,Asia,,,"""Turkmenistan"",",,Asia,,,,,,,,,
Timor2019,Timor,TLS,2019,3.23,2287,,1280442,Asia,,,"""Timor"",",,North America,,,,,,,,,
Trinidad and Tobago2019,Trinidad and Tobago,TTO,2019,20.28,2991,51.2,1519960,North America,,,"""Trinidad and Tobago"",",,Africa,,,,,,,,,
Tunisia2019,Tunisia,TUN,2019,16.71,3450,55.1,12049319,Africa,,,"""Tunisia"",",,Asia,,,,,,,,,
Turkey2019,Turkey,TUR,2019,16.87,3711,63,83481688,Asia,,,"""Turkey"",",,Asia,,,,,,,,,
Taiwan2019,Taiwan,TWN,2019,7.83,2983,42.4,23777742,Asia,,,"""Taiwan"",",,Africa,,,,,,,,,
Tanzania2019,Tanzania,TZA,2019,7.05,2373,15.2,59872584,Africa,,,"""Tanzania"",",,Africa,,,,,,,,,
Uganda2019,Uganda,UGA,2019,5.43,1981,12.5,42949076,Africa,,,"""Uganda"",",,South America,,,,,,,,,
Uruguay2019,Uruguay,URY,2019,9.52,3202,62.9,3428412,South America,,,"""Uruguay"",",,North America,,,,,,,,,
United States of America2019,United States of America,USA,2019,18.16,3875,74,,North America,,,"""United States of America"",",,Asia,,,,,3687,1,,,
Uzbekistan2019,Uzbekistan,UZB,2019,16.66,3011,46.8,32976946,Asia,,,"""Uzbekistan"",",,South America,,,,,,,,,
Venezuela2019,Venezuela,VEN,2019,13.74,2120,62.2,28971686,South America,,,"""Venezuela"",",,Asia,,,,,,,,,
Vietnam2019,Vietnam,VNM,2019,5.53,3025,15.8,95776712,Asia,,,"""Vietnam"",",,Oceania,,,,,,,,,
Vanuatu2019,Vanuatu,VUT,2019,13.58,2607,47.2,304414,Oceania,,,"""Vanuatu"",",,Oceania,,,,,,,,,
Samoa2019,Samoa,WSM,2019,19.28,3030,73.4,211915,Oceania,,,"""Samoa"",",,Asia,,,,,,,,,
Yemen2019,Yemen,YEM,2019,8.27,2154,36.8,31546694,Asia,,,"""Yemen"",",,Africa,,,,,,,,,
South Africa2019,South Africa,ZAF,2019,11.87,2899,40.2,58087060,Africa,,,"""South Africa"",",,Africa,,,,,,,,,
Zambia2019,Zambia,ZMB,2019,6.8,2002,18.5,18380478,Africa,,,"""Zambia"",",,Africa,,,,,,,,,
Zimbabwe2019,Zimbabwe,ZWE,2019,6.43,1908,19.5,15354606,Africa,,,"""Zimbabwe"",",,,,,,,,,,,
Afghanistan2018,Afghanistan,AFG,2018,11.94,2040,13.2,36686788,Asia,,,,,,,,,,,,,,
United Arab Emirates2018,United Arab Emirates,ARE,2018,24.05,3314,67.7,9140172,Asia,,,,,,,,,,,,,,
Argentina2018,Argentina,ARG,2018,10.29,3307,66.6,44413592,South America,,,,,,,,,,,,,,
Australia2018,Australia,AUS,2018,17.34,3391,72,24979228,Oceania,,,,,,,,,,,,,,
Bangladesh2018,Bangladesh,BGD,2018,4.48,2563,14.1,163683952,Asia,,,,,,,,,,,,,,
Brazil2018,Brazil,BRA,2018,11.93,3301,55.2,210166592,South America,,,,,,,,,,,,,,
Central African Republic2018,Central African Republic,CAF,2018,2.78,1786,12.7,5094795,Africa,,,,,,,,,,,,,,
Canada2018,Canada,CAN,2018,9.96,3566,69,37035260,North America,,,,,,,,,,,,,,
Switzerland2018,Switzerland,CHE,2018,8.25,3354,64.3,8514431,Europe,,,,,,,,,,,,,,
China2018,China,CHN,2018,6.2,3206,38.7,1417069440,Asia,,,,,,,,,,,,,,
Congo2018,Congo,COG,2018,9.39,2285,22.2,5441061,Africa,,,,,,,,,,,,,,
Colombia2018,Colombia,COL,2018,10.13,3114,54.2,49276968,South America,,,,,,,,,,,,,,
Egypt2018,Egypt,EGY,2018,21.08,3292,55.5,103740768,Africa,,,,,,,,,,,,,,
Spain2018,Spain,ESP,2018,9.63,3322,67.1,46792044,Europe,,,,,,,,,,,,,,
Ethiopia2018,Ethiopia,ETH,2018,3.55,2338,10.3,111129440,Africa,,,,,,,,,,,,,,
Fiji2018,Fiji,FJI,2018,27.3,2781,59,919002,Oceania,,,,,,,,,,,,,,
France2018,France,FRA,2018,7.51,3502,66.9,64277812,Europe,,,,,,,,,,,,,,
United Kingdom2018,United Kingdom,GBR,2018,9.06,3344,67.7,66432996,Europe,,,,,,,,,,,,,,
Greece2018,Greece,GRC,2018,10.58,3382,66.7,10633275,Europe,,,,,,,,,,,,,,
Guatemala2018,Guatemala,GTM,2018,9.2,2551,48.1,16850176,North America,,,,,,,,,,,,,,
Indonesia2018,Indonesia,IDN,2018,8.19,2884,19.7,267066848,Asia,,,,,,,,,,,,,,
India2018,India,IND,2018,5.46,2533,16.4,1369003264,Asia,,,,,,,,,,,,,,
Ireland2018,Ireland,IRL,2018,9.01,3885,67,4834506,Europe,,,,,,,,,,,,,,
Iran2018,Iran,IRN,2018,15.13,3087,56.5,85617560,Asia,,,,,,,,,,,,,,
