Column1,Food,Serving,calories
,Enchiladas,1 enchilada (192 g),323
,Sicilian Pizza,1 slice (133 g),321
,Avocado,1 avocado (200 g),320
,Spinach Tortellini,1 cup (102 g),320
,Avocado,1 avocado (200 g),320
,Crunchie McFlurry,1 mcflurry (183 g),318
,Tuna Pizza,1 slice (125 g),318
,BBQ Pizza,1 slice (140 g),314
,Deep Dish Pizza,1 slice (118 g),313
,Hot Dog,1 hot dog (116 g),312
,Subway Club Sandwich,1 sandwich (238 g),312
,BBQ Chicken Pizza,1 slice (132 g),309
,Chicken Pizza,1 slice (132 g),309
,Magnum Double Caramel,1 magnum (86 g),305
,Pizza Hut Supreme Pizza,1 slice (123 g),305
,Dal,1/2 cup (92 g),304
,Philly Cheese Steak,1 sandwich (120 g),300
,Wholegrain Oat,1 cup (80 g),300
,Shells,1 cup (85 g),300
,McDonald’s Cheeseburger,1 sandwich (114 g),300
,Pork Chop,1 chop (131 g),295
,Fajita,1 serving (248 g),290
,Meat Pie,1 pie (120 g),290
,Magnum Gold,1 magnum (85 g),290
,Rocky Road Ice Cream,1 scoop (113 g),290
,McDonald’s McMuffi Egg,1 burger (129 g),290
,Wendy’s Jr. Cheeseburger,1 burger (129 g),290
,Dosa,1 serving (435 g),287
,Lasagne,1 serving (215 g),284
,Spelt Bran,1 cup (160 g),283
,Bratwurst,1 piece (85 g),283
,Strawberry Sundae,1 sundae (178 g),281
,Butter Pecan Ice Cream,1 scoop (113 g),280
,Grilled Pizza,1 slice (124 g),280
,Hamburger,1 sandwich (110 g),279
,Pizza,1 slice (102 g),272
,Magnum Almond,1 magnum (86 g),271
,Grilled Chicken Salad,1 salad (305 g),268
,Chili con Carne,1 cup (253 g),266
,Ice Cream Sandwich,1 bar (112 g),265
,Broccoli Cheese Soup,1 can (303 g),264
,Veggie Pizza,1 slice (114 g),263
,Naan,1 bread (84 g),260
,Paratha,1 paratha (80 g),260
,Magnum,1 magnum (86 g),258
,Magnum White,1 magnum (86 g),255
,Calabrese Pizza,1 slice (108 g),254
,Ice Cream Sundae,1 sundae (178 g),253
,Chicken Parmesan,1 piece (227 g),250
,Jambalaya,1 cup (250 g),250
,Four Cheese Pizza,1 slice (113 g),250
,Lobster Bisque Soup,1 cup (248 g),248
,Napoli Pizza,1 slice (123 g),248
,Baked Beans,1 cup (260 g),244
,Roast Dinner,1 slice (121 g),240
,Ciao Bella,1 cup (220 g),240
,Pomegranate,1 pomegranate (282 g),234
,Pomegranate,1 pomegranate (282 g),234
,Dampfnudel,1 dampfnudel (85 g),233
,Oat Bran,1 cup (94 g),231
